,Unnamed: 0,Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Filename,Max Speed,Average Speed,Calories,data_ano,data_mes,dia_semana,tempo_min
501,501,7089631047,"May 4, 2022, 10:48:06 PM",Treino academia,Weight Training,,3939,0.0,158.0,activities/7547238590.gpx.gz,0.0,0.0,,2022,5,Quarta,65.65
502,502,7099601712,"May 6, 2022, 10:03:32 PM",Caminhada na UFPE,Walk,,1007,1.41,161.0,activities/7558098214.gpx.gz,1.7816115617752075,1.4000757932662964,129.92184448242188,2022,5,Sexta,16.783333333333335
503,503,7099618115,"May 6, 2022, 11:16:50 PM",Corrida na UFPE,Run,,890,2.2,181.0,activities/7558115997.gpx.gz,2.841542959213257,2.4741768836975098,238.39463806152344,2022,5,Sexta,14.833333333333334
504,504,7099618301,"May 6, 2022, 10:28:58 PM",Caminhada na UFPE,Walk,,2597,3.24,183.0,activities/7558115803.gpx.gz,1.894275069236756,1.452452540397644,298.7415771484375,2022,5,Sexta,43.28333333333333
505,505,7127705850,"May 11, 2022, 10:23:25 PM",Caminhada de aquecimento,Walk,,1403,2.01,142.0,activities/7588650614.gpx.gz,1.9618752002716064,1.4368505477905271,185.76719665527344,2022,5,Quarta,23.383333333333333
506,506,7127706825,"May 11, 2022, 10:47:45 PM",Corrida na UFPE,Run,,2054,4.39,185.0,activities/7588651629.gpx.gz,2.7614128589630127,2.4397292137146,427.7096557617188,2022,5,Quarta,34.233333333333334
507,507,7133028307,"May 12, 2022, 10:12:01 PM",Treino academia,Weight Training,,4499,0.0,161.0,activities/7594446785.gpx.gz,0.0,0.0,,2022,5,Quinta,74.98333333333333
508,508,7160413559,"May 14, 2022, 9:59:14 PM",Treino academia,Weight Training,,1253,2.02,136.0,activities/7624303074.gpx.gz,1.914285659790039,1.6183559894561768,186.8656463623047,2022,5,Sabado,20.883333333333333
509,509,7171334042,"May 14, 2022, 10:20:38 PM",Corrida na UFPE,Run,,1981,4.43,182.0,activities/7636137372.gpx.gz,2.7768075466156006,2.6347479820251465,430.446533203125,2022,5,Sabado,33.016666666666666
510,510,7171334289,"May 17, 2022, 10:11:41 PM",Treino academia,Weight Training,,3482,0.0,163.0,activities/7636137633.gpx.gz,0.0,0.0,,2022,5,Terca,58.03333333333333
511,511,7171334451,"May 19, 2022, 10:15:58 PM",Treino academia,Weight Training,,3585,0.0,180.0,activities/7636137803.gpx.gz,0.0,0.0,,2022,5,Quinta,59.75
512,512,7250482538,"Jun 3, 2022, 10:30:17 PM",Corrida ao entardecer,Run,,3555,5.8,,activities/7250482538.gpx,2.66400146484375,1.6357834339141846,535.1392822265625,2022,6,Sexta,59.25
513,513,7256080776,"Jun 4, 2022, 10:07:33 PM",Corrida ao entardecer,Run,,3200,7.41,,activities/7256080776.gpx,5.986666202545166,2.340988874435425,683.0784912109375,2022,6,Sabado,53.333333333333336
514,514,7315579619,"Jun 15, 2022, 10:36:45 PM",Caminhada ao anoitecer,Hike,,1204,1.83,,activities/7315579619.gpx,2.64801025390625,1.5711740255355835,168.96438598632812,2022,6,Quarta,20.066666666666663
515,515,7315687305,"Jun 15, 2022, 10:57:17 PM",Corrida ao anoitecer,Run,,2032,4.93,,activities/7315687305.gpx,3.31201171875,2.4934005737304688,455.0784912109375,2022,6,Quarta,33.86666666666667
516,516,7421653821,"Jul 5, 2022, 9:44:42 PM",Corrida ao anoitecer,Run,,2110,4.82,,activities/7421653821.gpx,4.547997951507568,2.35245132446289,445.0524597167969,2022,7,Terca,35.166666666666664
517,517,7446836869,"Jul 10, 2022, 2:52:57 PM",Corrida da hora do almoÃÂ§o,Hike,,3093,5.02,,activities/7446836869.gpx,4.920000076293945,1.6346553564071655,463.3536682128906,2022,7,Domingo,51.55
518,518,7507285092,"Jul 21, 2022, 10:01:34 PM",Caminhada ao anoitecer,Hike,,3064,4.65,,activities/7507285092.gpx,6.868017673492432,1.5195984840393066,429.05963134765625,2022,7,Quinta,51.06666666666667
519,519,7545520215,"Jul 28, 2022, 10:36:44 PM",Caminhada ao anoitecer,Hike,,1857,3.01,,activities/7545520215.gpx,4.977978706359863,1.6798831224441528,278.0260314941406,2022,7,Quinta,30.95
520,520,7545629791,"Jul 28, 2022, 11:08:02 PM",Corrida ao anoitecer,Run,,2053,4.73,,activities/7545629791.gpx,3.568066358566284,2.3910155296325684,436.40869140625,2022,7,Quinta,34.21666666666667
521,521,7560056397,"Jul 31, 2022, 3:17:22 PM",Caminhada da hora do almoÃÂ§o,Hike,,2896,4.64,,activities/7560056397.gpx,9.641667366027832,1.6258797645568848,428.3537902832031,2022,7,Domingo,48.266666666666666
522,522,7599354041,"Aug 7, 2022, 4:22:28 PM",Caminhada vespertina,Hike,,2870,4.77,,activities/7599354041.gpx,4.155999660491943,1.7199100255966189,439.9721984863281,2022,8,Domingo,47.833333333333336
523,523,7611734753,"Aug 9, 2022, 10:06:45 PM",Caminhada ao anoitecer,Hike,,3639,5.61,,activities/7611734753.gpx,4.900006294250488,1.5418630838394165,517.0444946289062,2022,8,Terca,60.65
524,524,7622748892,"Aug 11, 2022, 9:09:03 PM",Caminhada ao anoitecer,Hike,,2882,4.43,,activities/7622748892.gpx,6.0780029296875,1.5401005744934082,409.0186462402344,2022,8,Quinta,48.03333333333333
525,525,7622850108,"Aug 11, 2022, 9:59:13 PM",Corrida ao anoitecer,Run,,1805,4.19,,activities/7622850108.gpx,3.4640135765075684,2.377772092819214,389.2550354003906,2022,8,Quinta,30.08333333333333
526,526,7655808258,"Aug 15, 2022, 12:41:17 PM",Caminhada matinal na UFPE,Walk,,2834,3.32,,activities/8169120610.gpx.gz,5.050000190734863,1.623325228691101,305.9136657714844,2022,8,Segunda,47.23333333333333
527,527,7655836067,"Aug 16, 2022, 10:52:52 AM",Caminhada matinal na UFPE,Walk,,1261,2.01,,activities/8169152211.gpx.gz,5.5,1.595003962516785,185.3433074951172,2022,8,Terca,21.016666666666666
528,528,7655843229,"Aug 16, 2022, 11:14:27 AM",Corrida matinal na UFPE,Run,,915,2.3,,activities/8169160254.gpx.gz,6.589549541473389,2.5311079025268555,212.96096801757807,2022,8,Terca,15.25
529,529,7656226551,"Aug 17, 2022, 10:04:33 PM",Treino Funcional,Workout,,4396,0.0,151.0,activities/8169582715.gpx.gz,0.0,0.0,,2022,8,Quarta,73.26666666666667
530,530,7656226679,"Aug 17, 2022, 11:18:37 PM",Treino elÃÂ­ptico academia,Elliptical,,542,0.0,165.0,activities/8169582799.gpx.gz,0.0,0.0,0.0,2022,8,Quarta,9.033333333333331
531,531,7664589766,"Aug 18, 2022, 8:50:40 PM",Aquecimento antes da caminhada,Walk,,389,0.54,147.0,activities/8178948956.gpx.gz,4.879635334014893,1.3903006315231323,49.83774948120117,2022,8,Quinta,6.483333333333333
532,532,7664590157,"Aug 18, 2022, 8:57:38 PM",Caminhada na UFPE,Walk,,4323,4.7,177.0,activities/8178949214.gpx.gz,2.648280382156372,1.4253607988357544,433.0553283691406,2022,8,Quinta,72.05
533,533,7664590305,"Aug 18, 2022, 9:59:20 PM",Corrida na UFPE,Run,,1707,4.19,187.0,activities/8178949448.gpx.gz,3.936247110366821,2.514746189117432,386.9236145019531,2022,8,Quinta,28.45
534,534,7681653654,"Aug 19, 2022, 10:32:45 PM",Treino academia,Workout,,3634,0.0,157.0,activities/8198312431.gpx.gz,0.0,0.0,,2022,8,Sexta,60.56666666666667
535,535,7681653999,"Aug 21, 2022, 6:49:38 PM",NataÃÂ§ÃÂ£o,Swim,,1354,0.0,57.0,activities/8198312706.gpx.gz,0.0,0.0,,2022,8,Domingo,22.566666666666663
536,536,7697546694,"Aug 24, 2022, 10:02:47 PM",Treino Funcional,Workout,,5143,0.0,169.0,activities/8216060141.gpx.gz,0.0,0.0,,2022,8,Quarta,85.71666666666667
537,537,7703964823,"Aug 25, 2022, 10:18:35 PM",Caminhada na UFPE,Walk,,3308,4.23,134.0,activities/8223488027.gpx.gz,10.549039840698242,1.4045283794403076,389.9682922363281,2022,8,Quinta,55.13333333333333
538,538,7728015540,"Aug 26, 2022, 9:35:06 PM",Treino Funcional,Workout,,2778,0.0,174.0,activities/8250610593.gpx.gz,0.0,0.0,,2022,8,Sexta,46.3
539,539,7728015852,"Aug 28, 2022, 4:18:28 PM",Caminhada na UFPE,Walk,,2640,4.3,142.0,activities/8250610892.gpx.gz,2.667116403579712,1.6301707029342651,396.5856628417969,2022,8,Domingo,44.0
540,540,7741719675,"Sep 1, 2022, 10:33:27 AM",Caminhada matinal na UFPE,Walk,,2411,3.8,147.0,activities/8265951646.gpx.gz,3.063363075256348,1.5782989263534546,350.6603698730469,2022,9,Quinta,40.18333333333333
